id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated,brn,registered_address,company_type,date_of_incorporation,cr_matched_name,cr_match_ratio
64,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35448594,"6/F TIMES TOWER, 393 JAFFE RD, WANCHAI, HONG KONG",Private company limited by shares,25-02-2005,CHINA HARBOUR LIMITED,0.9
65,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35448594,"6/F TIMES TOWER, 393 JAFFE RD, WANCHAI, HONG KONG",Private company limited by shares,25-02-2005,CHINA HARBOUR LIMITED,0.9
66,China International Water & Electric Corporation,中國水利電力對外有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,64854015,香港 D座 3樓 D01室 大有街 2號旺景工業大廈 九龍新蒲崗,Private company limited by shares,05-06-2015,China International Water & Electric Corporation (Private) Limited,0.9
67,China International Water & Electric Corporation,中國水利電力對外有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,64854015,香港 D座 3樓 D01室 大有街 2號旺景工業大廈 九龍新蒲崗,Private company limited by shares,05-06-2015,China International Water & Electric Corporation (Private) Limited,0.9
68,China International Water & Electric Corporation,中國水利電力對外有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,64854015,香港 D座 3樓 D01室 大有街 2號旺景工業大廈 九龍新蒲崗,Private company limited by shares,05-06-2015,China International Water & Electric Corporation (Private) Limited,0.9
69,China International Water & Electric Corporation,中國水利電力對外有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,64854015,香港 D座 3樓 D01室 大有街 2號旺景工業大廈 九龍新蒲崗,Private company limited by shares,05-06-2015,China International Water & Electric Corporation (Private) Limited,0.9
70,China International Water & Electric Corporation,中國水利電力對外有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,64854015,香港 D座 3樓 D01室 大有街 2號旺景工業大廈 九龍新蒲崗,Private company limited by shares,05-06-2015,China International Water & Electric Corporation (Private) Limited,0.9
71,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,79591854,"RM 18, 27/F, HO KING COMM CTR, 2-16 FAYUEN ST, MONG KOK, HONG KONG",Private company limited by shares,13-01-2026,"China Metallurgical & Minerals Group Co., Limited",0.852
72,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,79591854,"RM 18, 27/F, HO KING COMM CTR, 2-16 FAYUEN ST, MONG KOK, HONG KONG",Private company limited by shares,13-01-2026,"China Metallurgical & Minerals Group Co., Limited",0.852
73,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,79591854,"RM 18, 27/F, HO KING COMM CTR, 2-16 FAYUEN ST, MONG KOK, HONG KONG",Private company limited by shares,13-01-2026,"China Metallurgical & Minerals Group Co., Limited",0.852
