REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
1354,Hong Mei Building,康美樓,137 Lai Chi Kok Road,荔枝角道137號,Yau Tsim Mong,2014,13,12,1349390,103799.23,1971,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
1009,,,215-225 Reclamation Street,新填地街215-225號,Yau Tsim Mong,2014,56,8,2540560,45367.14,1959,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
1384,Wing Shun Building,永信大樓,53-67 Larch Street & 4 Lime Street,洋松街53-67號及菩提街4號,Yau Tsim Mong,2012,105,9,3541900,33732.38,1961,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
751,,,12-14 Larch Street,洋松街12-14號,Yau Tsim Mong,2014,22,6,1215400,55245.45,1970,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Fire Services Installation Improvement
981,,,104 Fa Yuen Street,花園街104號,Yau Tsim Mong,2012,6,6,604467.56,100744.59,1957,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Windows
1387,,,29 Hak Po Street & 84-88 Shantung Street,黑布街29號及山東街84-88號,Yau Tsim Mong,2013,32,8,1561532,48797.88,1958,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
934,Tai Yue Mansion,泰怡大廈,28-30 Fife Street,快富街28-30號,Yau Tsim Mong,2011,89,16,4767560,53568.09,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Main Lobby Redecoration
883,Kwong Yuen Building,廣源大廈,2-20 Kam Lam Street,甘霖街2-20號,Yau Tsim Mong,2010,245,14,7362586,30051.37,1967,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Windows; Main Lobby Redecoration
1057,Wai Luen House,位聯樓,354-356 Shanghai Street,上海街354-356號,Yau Tsim Mong,2012,16,8,656250,41015.62,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement/Repairing of Windows
884,Pak Cheung Building,百祥大廈,59-65 Shantung Street,山東街59-65號,Yau Tsim Mong,2012,129,9,4456800,34548.84,1960,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
