no.,source,tender_ref,contractor_name,contract_value,currency,award_date,url
82,gld,AF900492024,Hong Kong Telecommunications (HKT) Limited,12800000.0,HKD,2025-07-30,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
83,gld,A4101032024,DCH Auriga (Hong Kong) Limited - Healthcare Division,8041500.0,HKD,2025-08-13,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
84,gld,A4101032024,Zuellig Pharma Limited,45047700.0,HKD,2025-08-13,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
85,gld,AF900982023,Siemens Healthcare Limited,34783100.0,HKD,2025-08-15,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
86,gld,AF900212024,Siemens Healthcare Limited,15382200.0,HKD,2025-08-15,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
87,archsd,RFN806,Wah Seng General Contractors Limited,10498000.0,HKD,2025-08-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
88,archsd,TCP972,Cheung Hing - Maylon Joint Venture,1018322800.0,HKD,2025-08-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
89,archsd,RFM804,Pacific Extend Limited,5501790.0,HKD,2025-09-12,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
90,archsd,TCP929,Shui On Building Contractors Limited,215009956.4,HKD,2025-09-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
91,archsd,TCP928,CWB - KS JV,278000000.0,HKD,2025-09-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
92,gld,A8900532024,Automated Systems (H.K.) Limited,10449568.0,HKD,2025-09-26,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
93,gld,A0600932024,"Leung Kow Kee Transportation Co., Ltd.",30801075.0,HKD,2025-10-17,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
94,gld,A1300802023,CAE-NRIET Consortium,394247731.0,HKD,2025-10-27,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
95,archsd,SSN515,W.Hing-CCECC-SFK Joint Venture,365645000.0,HKD,2025-10-31,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
96,gld,A3700612024,Automated Systems (H.K.) Limited,4696634.0,HKD,2025-11-06,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
97,gld,A3700612024,Nexify Limited,1993563.0,HKD,2025-11-06,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
98,gld,A3700612024,Hong Kong Telecommunications (HKT) Limited,12251000.0,HKD,2025-11-06,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
99,archsd,NSC to REN521,Chevalier (HK) Limited,26280000.0,HKD,2025-11-10,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
100,archsd,RFL810,Wah Seng General Contractors Limited,9480000.0,HKD,2025-11-10,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
101,archsd,NSC to REN521,TK Elevator Hong Kong Limited,7250000.0,HKD,2025-11-18,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
102,hyd,HY/2025/10,Bachy Soletanche Group Limited,29527000.0,HKD,2025-11-18,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
103,gld,AF300542024,A & P Instrument Company Limited,7400000.0,HKD,2025-12-02,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
104,hyd,HY/2025/07,CLPe Solutions Limited,14017000.0,HKD,2025-12-23,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
